     zkm      EDD      DI(LH,J)  DI(LH2,J)
  5.000E-01 1.000E+05 1.093E+00 7.859E-01
  1.500E+00 1.000E+05 1.191E+00 8.561E-01
  2.500E+00 1.000E+05 1.300E+00 9.345E-01
  3.500E+00 1.000E+05 1.422E+00 1.022E+00
  4.500E+00 1.000E+05 1.559E+00 1.121E+00
  5.500E+00 1.000E+05 1.713E+00 1.231E+00
  6.500E+00 1.000E+05 1.886E+00 1.356E+00
  7.500E+00 1.000E+05 2.083E+00 1.497E+00
  8.500E+00 1.000E+05 2.305E+00 1.657E+00
  9.500E+00 8.944E+04 2.559E+00 1.840E+00
  1.050E+01 4.899E+04 2.850E+00 2.048E+00
  1.150E+01 2.258E+04 3.183E+00 2.288E+00
  1.250E+01 1.166E+04 3.721E+00 2.675E+00
  1.350E+01 6.812E+03 4.353E+00 3.129E+00
  1.450E+01 5.165E+03 5.093E+00 3.661E+00
  1.550E+01 4.290E+03 5.959E+00 4.283E+00
  1.650E+01 3.950E+03 6.971E+00 5.011E+00
  1.750E+01 3.900E+03 8.155E+00 5.862E+00
  1.850E+01 3.999E+03 9.539E+00 6.857E+00
  1.950E+01 4.343E+03 1.116E+01 8.021E+00
  2.050E+01 4.844E+03 1.305E+01 9.381E+00
  2.150E+01 5.439E+03 1.536E+01 1.104E+01
  2.250E+01 6.187E+03 1.806E+01 1.299E+01
  2.350E+01 7.036E+03 2.123E+01 1.526E+01
  2.450E+01 7.984E+03 2.494E+01 1.793E+01
  2.550E+01 8.986E+03 2.927E+01 2.104E+01
  2.650E+01 1.003E+04 3.432E+01 2.467E+01
  2.750E+01 1.128E+04 4.022E+01 2.891E+01
  2.850E+01 1.249E+04 4.709E+01 3.385E+01
  2.950E+01 1.363E+04 5.510E+01 3.961E+01
  3.050E+01 1.513E+04 6.442E+01 4.631E+01
  3.150E+01 1.669E+04 7.526E+01 5.410E+01
  3.250E+01 1.818E+04 8.787E+01 6.316E+01
  3.350E+01 1.998E+04 1.035E+02 7.437E+01
  3.450E+01 2.198E+04 1.218E+02 8.757E+01
  3.550E+01 2.445E+04 1.432E+02 1.029E+02
  3.650E+01 2.746E+04 1.679E+02 1.207E+02
  3.750E+01 3.046E+04 1.966E+02 1.413E+02
  3.850E+01 3.394E+04 2.297E+02 1.651E+02
  3.950E+01 3.795E+04 2.679E+02 1.926E+02
  4.050E+01 4.195E+04 3.119E+02 2.242E+02
  4.150E+01 4.643E+04 3.626E+02 2.607E+02
  4.250E+01 5.191E+04 4.207E+02 3.024E+02
  4.350E+01 5.840E+04 4.874E+02 3.504E+02
  4.450E+01 6.445E+04 5.637E+02 4.052E+02
  4.550E+01 7.136E+04 6.510E+02 4.680E+02
  4.650E+01 7.990E+04 7.508E+02 5.397E+02
  4.750E+01 8.791E+04 8.641E+02 6.212E+02
  4.850E+01 9.687E+04 9.840E+02 7.074E+02
  4.950E+01 1.069E+05 1.114E+03 8.010E+02
  5.050E+01 1.178E+05 1.262E+03 9.070E+02
  5.150E+01 1.318E+05 1.429E+03 1.027E+03
  5.250E+01 1.483E+05 1.604E+03 1.153E+03
  5.350E+01 1.658E+05 1.790E+03 1.287E+03
  5.450E+01 1.833E+05 2.001E+03 1.438E+03
  5.550E+01 2.018E+05 2.239E+03 1.609E+03
  5.650E+01 2.256E+05 2.508E+03 1.803E+03
  5.750E+01 2.522E+05 2.812E+03 2.022E+03
  5.850E+01 2.772E+05 3.158E+03 2.270E+03
  5.950E+01 3.070E+05 3.550E+03 2.552E+03
  6.050E+01 3.421E+05 3.996E+03 2.873E+03
  6.150E+01 3.795E+05 4.504E+03 3.238E+03
  6.250E+01 4.219E+05 5.084E+03 3.654E+03
  6.350E+01 4.717E+05 5.472E+03 3.933E+03
  6.450E+01 5.174E+05 6.315E+03 4.540E+03
  6.550E+01 5.674E+05 7.302E+03 5.249E+03
  6.650E+01 6.224E+05 8.260E+03 5.938E+03
  6.750E+01 6.826E+05 9.458E+03 6.799E+03
  6.850E+01 7.487E+05 1.076E+04 7.733E+03
  6.950E+01 8.212E+05 1.231E+04 8.852E+03
  7.050E+01 9.007E+05 1.400E+04 1.007E+04
  7.150E+01 9.879E+05 1.616E+04 1.162E+04
  7.250E+01 1.000E+06 1.860E+04 1.337E+04
  7.350E+01 1.000E+06 2.153E+04 1.548E+04
  7.450E+01 1.000E+06 2.484E+04 1.786E+04
  7.550E+01 1.000E+06 2.885E+04 2.074E+04
  7.650E+01 1.000E+06 3.335E+04 2.397E+04
  7.750E+01 1.000E+06 3.886E+04 2.793E+04
  7.850E+01 1.000E+06 4.501E+04 3.236E+04
  7.950E+01 1.000E+06 5.265E+04 3.785E+04
  8.050E+01 1.000E+06 6.111E+04 4.393E+04
  8.150E+01 1.000E+06 7.175E+04 5.158E+04
  8.250E+01 1.000E+06 8.347E+04 6.000E+04
  8.350E+01 1.000E+06 9.839E+04 7.073E+04
  8.450E+01 1.000E+06 1.156E+05 8.309E+04
  8.550E+01 1.000E+06 1.357E+05 9.752E+04
  8.650E+01 1.000E+06 1.621E+05 1.165E+05
  8.750E+01 1.000E+06 1.936E+05 1.392E+05
  8.850E+01 1.000E+06 2.313E+05 1.663E+05
  8.950E+01 1.000E+06 2.763E+05 1.986E+05
  9.050E+01 1.000E+06 3.327E+05 2.392E+05
  9.150E+01 1.000E+06 4.029E+05 2.896E+05
  9.250E+01 1.000E+06 4.833E+05 3.474E+05
  9.350E+01 1.000E+06 5.813E+05 4.179E+05
  9.450E+01 1.000E+06 6.981E+05 5.019E+05
  9.550E+01 1.000E+06 8.341E+05 5.996E+05
  9.650E+01 1.000E+06 9.992E+05 7.183E+05
  9.750E+01 1.000E+06 1.195E+06 8.592E+05
  9.850E+01 1.000E+06 1.433E+06 1.030E+06
  9.950E+01 1.000E+06 1.714E+06 1.232E+06
