
H2CO                PRODUCTION RXS              INT RX RATE    TP =  1.07E+11
  60) CH4     + O1D     = H2CO    + H2           6.413E+07
  62) CH21    + O2      = H2CO    + O            7.921E+04
  66) CH23    + O2      = H2CO    + O            3.966E+07
  68) CH3     + OH      = H2CO    + H2           6.219E-08
  69) CH3     + O       = H2CO    + H            1.460E+06
  70) CH3     + O3      = H2CO    + HO2          3.006E+06
  74) H3CO    + O2      = H2CO    + HO2          1.068E+11
  75) H3CO    + O       = H2CO    + OH           1.204E+03
  76) H3CO    + OH      = H2CO    + H2O          1.318E+03

H2CO                   LOSS RXS                INT RX RATE    TL =  1.06E+11
  38) H2CO    + HV      = H2      + CO           4.432E+10
  39) H2CO    + HV      = HCO     + H            2.583E+10
  41) H2CO    + H       = H2      + HCO          1.216E+05
  45) H2CO    + OH      = H2O     + HCO          3.404E+10
  48) H2CO    + O       = HCO     + OH           2.119E+08
 139) HS      + H2CO    = H2S     + HCO          2.314E+05

O                   PRODUCTION RXS              INT RX RATE    TP =  2.17E+15
   8) H       + HO2     = H2O     + O            1.095E+09
  20) OH      + OH      = H2O     + O            3.214E+09
  21) O1D     + N2      = O       + N2           4.254E+14
  22) O1D     + O2      = O       + O2           1.705E+14
  23) O2      + HV      = O       + O1D          1.735E+11
  24) O2      + HV      = O       + O            6.344E+12
  27) O3      + HV      = O2      + O            1.541E+15
  29) CO2     + HV      = CO      + O            8.474E+08
  50) HO2     + HV      = OH      + O            8.083E+09
  53) N2O     + HV      = N2      + O            8.200E+08
  56) NO      + HV      = N       + O            1.330E+08
  57) NO2     + HV      = NO      + O            1.512E+13
  62) CH21    + O2      = H2CO    + O            7.921E+04
  66) CH23    + O2      = H2CO    + O            3.966E+07
  79) N       + O2      = NO      + O            1.084E+08
  82) N       + NO      = N2      + O            1.781E+07
 105) NO3     + HV      = NO2     + O            1.939E+10
 111) SO2     + HV      = SO      + O            9.499E+03
 113) SO      + O2      = O       + SO2          3.458E+08
 134) S       + O2      = SO      + O            4.071E+03
 148) SO21    + O2      = SO3     + O            2.837E+05
 165) HSO     + HV      = HS      + O            8.614E-01
 175) O1D     + CO2     = CO2     + O            6.866E+11

O                      LOSS RXS                INT RX RATE    TL =  2.17E+15
   3) H2      + O       = OH      + H            5.855E+07
  10) OH      + O       = H       + O2           3.259E+12
  13) HO2     + O       = OH      + O2           2.850E+12
  17) O       + O       = O2      +              7.931E+09
  18) O       + O2      = O3      +              2.157E+15
  19) O       + O3      = O2      + O2           6.186E+11
  31) CO      + O       = CO2     +              3.972E+05
  36) O       + HCO     = H       + CO2          2.153E+05
  37) O       + HCO     = OH      + CO           2.153E+05
  48) H2CO    + O       = HCO     + OH           2.119E+08
  49) H2O2    + O       = OH      + HO2          1.221E+07
