     zkm      totH2O    totH      totH2    totCH4    tothyd
  5.000E-01 1.371E-02 3.504E-21 5.500E-07 3.200E-06 1.371E-02
  1.500E+00 8.906E-03 3.939E-21 5.503E-07 3.191E-06 8.909E-03
  2.500E+00 5.652E-03 4.433E-21 5.507E-07 3.184E-06 5.656E-03
  3.500E+00 3.352E-03 4.872E-21 5.511E-07 3.178E-06 3.356E-03
  4.500E+00 1.897E-03 5.292E-21 5.514E-07 3.173E-06 1.901E-03
  5.500E+00 1.043E-03 5.628E-21 5.517E-07 3.169E-06 1.046E-03
  6.500E+00 5.552E-04 5.650E-21 5.520E-07 3.165E-06 5.589E-04
  7.500E+00 2.856E-04 5.426E-21 5.522E-07 3.163E-06 2.893E-04
  8.500E+00 1.415E-04 5.380E-21 5.524E-07 3.160E-06 1.452E-04
  9.500E+00 6.740E-05 5.746E-21 5.525E-07 3.158E-06 7.111E-05
  1.050E+01 3.070E-05 6.160E-21 5.526E-07 3.156E-06 3.441E-05
  1.150E+01 1.218E-05 5.807E-21 5.526E-07 3.150E-06 1.589E-05
  1.250E+01 9.826E-06 5.070E-21 5.525E-07 3.139E-06 1.352E-05
  1.350E+01 9.848E-06 4.574E-21 5.520E-07 3.116E-06 1.352E-05
  1.450E+01 9.886E-06 4.606E-21 5.508E-07 3.078E-06 1.352E-05
  1.550E+01 9.941E-06 5.007E-21 5.486E-07 3.024E-06 1.351E-05
  1.650E+01 1.001E-05 5.757E-21 5.454E-07 2.954E-06 1.351E-05
  1.750E+01 1.010E-05 7.018E-21 5.410E-07 2.871E-06 1.351E-05
  1.850E+01 1.019E-05 9.069E-21 5.355E-07 2.778E-06 1.351E-05
  1.950E+01 1.030E-05 1.241E-20 5.291E-07 2.676E-06 1.350E-05
  2.050E+01 1.041E-05 1.796E-20 5.218E-07 2.571E-06 1.350E-05
  2.150E+01 1.052E-05 2.826E-20 5.138E-07 2.464E-06 1.350E-05
  2.250E+01 1.063E-05 4.625E-20 5.052E-07 2.356E-06 1.349E-05
  2.350E+01 1.074E-05 7.804E-20 4.959E-07 2.247E-06 1.349E-05
  2.450E+01 1.086E-05 1.350E-19 4.861E-07 2.138E-06 1.348E-05
  2.550E+01 1.097E-05 2.395E-19 4.756E-07 2.030E-06 1.348E-05
  2.650E+01 1.109E-05 4.372E-19 4.644E-07 1.920E-06 1.348E-05
  2.750E+01 1.121E-05 8.275E-19 4.526E-07 1.810E-06 1.347E-05
  2.850E+01 1.133E-05 1.636E-18 4.402E-07 1.700E-06 1.347E-05
  2.950E+01 1.145E-05 3.402E-18 4.270E-07 1.589E-06 1.346E-05
  3.050E+01 1.157E-05 7.431E-18 4.134E-07 1.478E-06 1.346E-05
  3.150E+01 1.169E-05 1.692E-17 3.994E-07 1.368E-06 1.345E-05
  3.250E+01 1.180E-05 3.963E-17 3.853E-07 1.259E-06 1.345E-05
  3.350E+01 1.192E-05 9.669E-17 3.712E-07 1.151E-06 1.344E-05
  3.450E+01 1.203E-05 2.353E-16 3.576E-07 1.045E-06 1.344E-05
  3.550E+01 1.214E-05 5.646E-16 3.450E-07 9.440E-07 1.343E-05
  3.650E+01 1.224E-05 1.338E-15 3.342E-07 8.492E-07 1.343E-05
  3.750E+01 1.233E-05 3.142E-15 3.255E-07 7.613E-07 1.342E-05
  3.850E+01 1.241E-05 7.341E-15 3.196E-07 6.807E-07 1.341E-05
  3.950E+01 1.248E-05 1.694E-14 3.172E-07 6.081E-07 1.341E-05
  4.050E+01 1.254E-05 3.799E-14 3.189E-07 5.437E-07 1.340E-05
  4.150E+01 1.258E-05 8.113E-14 3.255E-07 4.871E-07 1.339E-05
  4.250E+01 1.261E-05 1.626E-13 3.377E-07 4.386E-07 1.338E-05
  4.350E+01 1.262E-05 3.043E-13 3.558E-07 3.978E-07 1.337E-05
  4.450E+01 1.262E-05 5.332E-13 3.804E-07 3.636E-07 1.337E-05
  4.550E+01 1.261E-05 8.809E-13 4.120E-07 3.350E-07 1.336E-05
  4.650E+01 1.258E-05 1.388E-12 4.506E-07 3.111E-07 1.335E-05
  4.750E+01 1.255E-05 2.110E-12 4.965E-07 2.913E-07 1.334E-05
  4.850E+01 1.250E-05 3.070E-12 5.501E-07 2.747E-07 1.333E-05
  4.950E+01 1.244E-05 4.352E-12 6.108E-07 2.608E-07 1.331E-05
  5.050E+01 1.238E-05 6.090E-12 6.786E-07 2.491E-07 1.330E-05
  5.150E+01 1.230E-05 8.443E-12 7.527E-07 2.391E-07 1.329E-05
  5.250E+01 1.222E-05 1.144E-11 8.319E-07 2.307E-07 1.328E-05
  5.350E+01 1.213E-05 1.527E-11 9.152E-07 2.234E-07 1.327E-05
  5.450E+01 1.204E-05 2.036E-11 1.003E-06 2.170E-07 1.326E-05
  5.550E+01 1.194E-05 2.713E-11 1.095E-06 2.112E-07 1.325E-05
  5.650E+01 1.184E-05 3.616E-11 1.191E-06 2.059E-07 1.323E-05
  5.750E+01 1.173E-05 4.827E-11 1.290E-06 2.010E-07 1.322E-05
  5.850E+01 1.162E-05 6.459E-11 1.393E-06 1.964E-07 1.321E-05
  5.950E+01 1.151E-05 8.669E-11 1.500E-06 1.918E-07 1.320E-05
  6.050E+01 1.139E-05 1.168E-10 1.610E-06 1.874E-07 1.319E-05
  6.150E+01 1.127E-05 1.579E-10 1.723E-06 1.831E-07 1.317E-05
  6.250E+01 1.114E-05 2.148E-10 1.839E-06 1.788E-07 1.316E-05
  6.350E+01 1.102E-05 2.643E-10 1.957E-06 1.746E-07 1.315E-05
  6.450E+01 1.089E-05 3.787E-10 2.077E-06 1.704E-07 1.314E-05
  6.550E+01 1.075E-05 5.437E-10 2.203E-06 1.661E-07 1.312E-05
  6.650E+01 1.061E-05 7.489E-10 2.335E-06 1.615E-07 1.311E-05
  6.750E+01 1.046E-05 1.064E-09 2.473E-06 1.568E-07 1.310E-05
  6.850E+01 1.031E-05 1.503E-09 2.617E-06 1.520E-07 1.308E-05
  6.950E+01 1.015E-05 2.170E-09 2.767E-06 1.470E-07 1.307E-05
  7.050E+01 9.981E-06 3.128E-09 2.923E-06 1.419E-07 1.305E-05
  7.150E+01 9.806E-06 4.672E-09 3.085E-06 1.367E-07 1.303E-05
  7.250E+01 9.615E-06 6.988E-09 3.260E-06 1.313E-07 1.301E-05
  7.350E+01 9.399E-06 1.059E-08 3.457E-06 1.254E-07 1.299E-05
  7.450E+01 9.155E-06 1.601E-08 3.678E-06 1.191E-07 1.297E-05
  7.550E+01 8.880E-06 2.440E-08 3.924E-06 1.124E-07 1.294E-05
  7.650E+01 8.575E-06 3.683E-08 4.192E-06 1.056E-07 1.291E-05
  7.750E+01 8.239E-06 5.595E-08 4.481E-06 9.853E-08 1.287E-05
  7.850E+01 7.876E-06 8.415E-08 4.784E-06 9.150E-08 1.284E-05
  7.950E+01 7.482E-06 1.320E-07 5.091E-06 8.456E-08 1.279E-05
  8.050E+01 7.042E-06 2.361E-07 5.381E-06 7.781E-08 1.274E-05
  8.150E+01 6.522E-06 4.921E-07 5.603E-06 7.133E-08 1.269E-05
  8.250E+01 5.970E-06 8.655E-07 5.732E-06 6.518E-08 1.263E-05
  8.350E+01 5.428E-06 1.276E-06 5.802E-06 5.940E-08 1.256E-05
  8.450E+01 4.914E-06 1.684E-06 5.840E-06 5.402E-08 1.249E-05
  8.550E+01 4.436E-06 2.069E-06 5.862E-06 4.906E-08 1.242E-05
  8.650E+01 3.995E-06 2.423E-06 5.874E-06 4.450E-08 1.234E-05
  8.750E+01 3.592E-06 2.744E-06 5.882E-06 4.033E-08 1.226E-05
  8.850E+01 3.225E-06 3.029E-06 5.886E-06 3.653E-08 1.218E-05
  8.950E+01 2.894E-06 3.281E-06 5.889E-06 3.309E-08 1.210E-05
  9.050E+01 2.596E-06 3.500E-06 5.890E-06 3.000E-08 1.202E-05
  9.150E+01 2.329E-06 3.689E-06 5.890E-06 2.721E-08 1.194E-05
  9.250E+01 2.090E-06 3.852E-06 5.889E-06 2.472E-08 1.186E-05
  9.350E+01 1.879E-06 3.989E-06 5.886E-06 2.251E-08 1.178E-05
  9.450E+01 1.693E-06 4.103E-06 5.881E-06 2.057E-08 1.170E-05
  9.550E+01 1.533E-06 4.197E-06 5.875E-06 1.888E-08 1.162E-05
  9.650E+01 1.396E-06 4.270E-06 5.866E-06 1.744E-08 1.155E-05
  9.750E+01 1.282E-06 4.324E-06 5.854E-06 1.624E-08 1.148E-05
  9.850E+01 1.192E-06 4.360E-06 5.837E-06 1.527E-08 1.140E-05
  9.950E+01 1.125E-06 4.375E-06 5.816E-06 1.454E-08 1.133E-05
