 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  8.45E+13 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
 INITIAL MIXING RATIOS OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
   0.5   1.35E-13 2.80E-20 1.05E-05 4.07E-17 8.74E-15 1.79E-12 2.25E-11 1.13E-11 6.92E-11 7.19E-13
   1.5   1.41E-13 3.88E-20 6.85E-06 4.87E-17 8.85E-15 1.86E-12 2.67E-11 1.34E-11 6.29E-11 7.18E-13
   2.5   1.40E-13 5.55E-20 4.35E-06 5.81E-17 8.83E-15 1.86E-12 3.27E-11 1.63E-11 5.75E-11 6.69E-13
   3.5   1.32E-13 7.92E-20 2.58E-06 6.73E-17 8.49E-15 1.71E-12 3.99E-11 2.00E-11 5.28E-11 5.64E-13
   5.5   1.03E-13 1.53E-19 8.02E-07 8.44E-17 7.08E-15 1.18E-12 5.65E-11 2.82E-11 4.53E-11 3.18E-13
   7.5   6.21E-14 2.71E-19 2.20E-07 8.50E-17 5.12E-15 6.78E-13 7.26E-11 3.63E-11 4.02E-11 1.53E-13
   9.5   3.67E-14 4.61E-19 5.18E-08 9.04E-17 3.36E-15 3.46E-13 8.87E-11 4.43E-11 3.66E-11 6.34E-14
  11.5   1.85E-14 9.00E-19 9.37E-09 9.30E-17 1.46E-15 1.03E-13 1.22E-10 6.11E-11 3.23E-11 1.36E-14
  13.5   9.84E-15 3.57E-18 7.57E-09 7.00E-17 5.91E-16 9.48E-15 2.57E-10 1.29E-10 2.51E-11 1.23E-15
  15.5   8.22E-15 1.63E-17 7.65E-09 8.05E-17 4.98E-16 2.56E-15 6.23E-10 3.11E-10 1.70E-11 3.77E-16
  17.5   8.53E-15 6.29E-17 7.77E-09 1.17E-16 6.94E-16 3.27E-15 1.27E-09 6.35E-10 1.13E-11 3.50E-16
  19.5   9.89E-15 2.07E-16 7.92E-09 1.94E-16 1.23E-15 7.00E-15 2.21E-09 1.10E-09 8.13E-12 5.02E-16
  21.5   1.28E-14 6.21E-16 8.09E-09 3.67E-16 2.61E-15 2.08E-14 3.42E-09 1.71E-09 6.65E-12 1.00E-15
  23.5   1.77E-14 1.79E-15 8.26E-09 7.58E-16 6.15E-15 7.08E-14 4.96E-09 2.48E-09 6.01E-12 2.33E-15
  25.5   2.42E-14 4.95E-15 8.44E-09 1.62E-15 1.41E-14 2.19E-13 6.91E-09 3.45E-09 5.73E-12 4.90E-15
  27.5   3.15E-14 1.33E-14 8.62E-09 3.46E-15 3.00E-14 5.55E-13 9.27E-09 4.63E-09 5.56E-12 8.40E-15
  29.5   3.88E-14 3.48E-14 8.80E-09 7.36E-15 5.72E-14 1.08E-12 1.18E-08 5.91E-09 5.41E-12 1.12E-14
  31.5   4.46E-14 8.67E-14 8.99E-09 1.57E-14 9.61E-14 1.58E-12 1.39E-08 6.96E-09 5.20E-12 1.16E-14
  33.5   4.86E-14 2.08E-13 9.17E-09 3.33E-14 1.41E-13 1.69E-12 1.46E-08 7.30E-09 4.98E-12 9.65E-15
